skeleton,n_treenodes_left,n_inputs_left,n_outputs_left,n_treenodes_right,n_inputs_right,n_outputs_right
3010486,0,0,0,2313,127,52
3021394,105,1,0,565,0,0
3021609,1615,75,31,2009,98,31
3027876,0,0,0,4493,451,44
3043970,1353,57,37,601,28,33
3044500,5252,264,36,1184,24,26
3046503,1549,98,1,697,0,0
3048606,2140,123,0,388,5,3
3054794,263,2,1,0,0,0
3058132,445,12,28,1035,47,13
3060480,2949,157,78,0,0,0
3061422,3007,85,29,1081,14,30
3149791,990,46,39,1894,49,39
3158085,0,0,0,3419,188,65
3158123,2391,150,40,672,23,50
3166745,0,0,0,747,24,14
3166836,0,0,0,1861,46,24
3167039,0,0,0,2541,102,34
3180681,0,0,0,2440,66,34
3182103,0,0,0,2678,118,57
3122533,0,0,0,1721,57,18
3232277,0,0,0,852,43,24
3232808,0,0,0,2390,76,31
3233158,0,0,0,526,1,0
3234817,0,0,0,8517,964,133
3235409,0,0,0,3886,224,69
3251140,0,0,0,1713,95,29
3272218,1007,10,34,3408,115,48
3276003,0,0,0,3680,221,51
3281684,1141,65,0,767,0,0
3347708,0,0,0,4198,242,188
3384681,0,0,0,292,0,0
3414508,41,0,0,1722,112,1
3436420,999,48,10,1961,101,0
3450442,4802,437,86,0,0,0
3450751,3332,115,108,665,0,0
3486381,2531,267,108,0,0,0
3486867,841,25,0,0,0,0
3497901,0,0,0,3041,149,71
3498479,2018,159,16,54,0,0
3522293,0,0,0,2178,90,35
3664102,0,0,0,4655,300,194
3538129,1032,16,58,4684,311,70
3539170,1583,88,2,0,0,0
3543931,1961,46,46,1030,19,36
3561724,472,0,1,1025,77,0
3605630,0,0,0,1136,21,5
3587612,0,0,0,2919,158,76
3595837,834,15,5,1245,26,10
5898284,0,0,0,1597,57,57
5900426,0,0,0,1387,46,2
5902352,1604,74,9,616,7,32
5904499,361,1,0,0,0,0
5934511,961,44,54,1732,88,16
5935744,1166,58,41,909,25,1
5936935,821,41,30,1538,100,6
